CROPS,CROPS_LABEL,N,P,K,SOIL_PH,CROP_DURATION,TEMP,WATER_REQUIRED,HUMIDITY,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,WATER_SOURCE
rice,39,94,41,57,5.8,114,22,1791,74,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,53,48,6.5,137,33,1634,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,94,41,57,5.8,114,22,1792,74,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,53,48,6.5,137,33,1634,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,94,41,57,5.7,113,21,1808,75,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,46,53,6.1,125,27,1678,71,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,53,48,6.5,137,33,1634,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,92,43,55,5.9,117,24,1719,73,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,95,40,57,5.7,112,20,1839,75,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,92,45,54,6,121,25,1691,72,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,51,50,6.4,134,31,1649,69,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
wheat,56,117,54,58,6.9,78,24,605,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,54,58,6.9,79,24,604,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,79,24,603,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,116,54,58,6.9,80,24,591,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,55,59,7,77,24,620,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,55,59,7,77,24,623,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,55,59,6.9,78,24,608,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,80,24,597,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,56,59,7,77,24,626,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,54,58,6.9,78,24,607,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,80,24,596,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,79,24,604,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,56,59,7,77,24,626,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,80,24,595,57,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,55,59,6.9,77,24,616,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,80,24,595,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,55,59,7,79,24,611,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,54,58,6.9,78,24,609,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,79,24,597,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,116,53,57,6.9,80,24,589,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,56,59,7,77,24,624,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,55,59,7,76,24,626,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,55,59,7,77,24,622,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,116,54,58,6.9,80,24,593,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,55,59,6.9,78,24,611,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,56,59,7,76,24,626,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,56,59,7,77,24,626,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,56,59,7,76,24,628,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,55,59,7,78,24,616,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,56,60,7,76,24,629,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,54,58,6.9,79,24,607,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,116,53,57,6.9,80,24,592,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,78,24,605,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,79,24,602,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,55,59,7,77,24,620,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,115,53,57,6.9,80,24,585,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,115,53,57,6.9,81,23,582,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,120,57,60,7,76,24,631,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,54,58,6.9,78,24,608,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,54,58,6.9,78,24,610,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,79,24,602,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,55,59,7,79,24,608,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,79,24,606,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,120,57,60,7,76,24,631,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,55,59,7,77,24,619,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,55,58,6.9,79,24,608,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,79,24,601,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,56,59,7,76,24,626,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,55,58,6.9,79,24,608,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,55,59,7,78,24,615,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,79,24,600,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,120,56,60,7,76,24,632,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,55,59,7,77,24,621,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,116,53,57,6.9,80,24,591,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,55,59,7,78,24,615,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,54,58,6.9,78,24,610,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,54,58,6.9,79,24,603,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,115,54,57,6.9,81,24,587,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,55,59,7,77,24,621,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,56,59,7,76,24,630,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,55,59,6.9,78,24,613,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,79,24,605,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,56,59,7,76,24,626,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,57,60,7,77,24,627,57,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,55,59,7,77,24,619,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,56,59,7,78,24,618,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,55,59,6.9,78,24,616,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,116,54,58,6.9,79,24,600,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,80,24,597,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,56,59,7,77,24,625,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,55,59,7,79,24,610,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,115,53,57,6.9,80,23,584,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,54,58,6.9,79,24,607,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,79,24,602,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,54,58,6.9,79,24,606,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,54,58,6.9,78,24,612,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,80,24,597,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,55,59,7,78,24,616,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,117,54,58,6.9,79,24,602,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,119,55,59,7,79,24,614,56,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
wheat,56,118,54,58,6.9,78,24,608,55,cereals,well-drained soil,rabi,"Oct,Nov,Dec","Apr,May,Jun","irrigated,rainfed"
